,index,delta_d,delta_t,avg_elevation,pace,d_cumsum,t_cumsum,avg_pace
0,1,9.205918577384917,3.0,6.0,5.4312885324479225,9.205918577384917,3.0,5.4312885324479225
1,2,9.727265965371675,5.0,6.0,8.566984148474365,18.933184542756592,8.0,7.042308864218177
2,3,10.276377348448683,5.0,6.0,8.109213053169293,29.209561891205276,13.0,7.41766232145724
3,4,9.475295261313155,5.0,6.0,8.794800693290943,38.68485715251843,18.0,7.754972412518515
4,5,9.820704891449196,5.0,5.9,8.485473726625361,48.50556204396763,23.0,7.902873756742839
5,6,9.419455723617038,5.0,5.65,8.846937209375579,57.92501776758466,28.0,8.056392292171507
6,7,10.236471883153234,5.0,5.4,8.140825695079563,68.16148965073789,33.0,8.069072475062109
7,8,10.73036550353487,5.0,5.199999999999999,7.766122533839235,78.89185515427276,38.0,8.027867161887016
8,9,10.593417111891217,5.0,5.05,7.86652054319572,89.48527226616397,43.0,8.008766677660894
9,10,9.549828219183162,5.0,5.1,8.726160452387823,99.03510048534713,48.0,8.07794404286352
10,11,9.590445877537226,5.0,5.35,8.689203233868087,108.62554636288435,53.0,8.131911533796938
11,12,10.111676113454887,5.0,5.7,8.241297723376206,118.73722247633924,58.0,8.14122687482684
12,13,9.41947784240313,5.0,6.2,8.84691643502747,128.15670031874237,63.0,8.193094839274993
13,14,10.690556104943006,5.0,6.7,7.795041952476392,138.84725642368537,68.0,8.162446724010334
14,15,10.21574606923912,5.0,7.15,8.157341888544034,149.06300249292448,73.0,8.162096873933676
15,16,9.261584878374611,4.0,7.5,7.198192052672364,158.3245873712991,77.0,8.10571089835649
16,17,10.176492238750095,5.0,7.65,8.188807241066453,168.50107961004917,82.0,8.110729437635962
17,18,10.250545577865614,5.0,7.7,8.129648583123041,178.75162518791478,87.0,8.111814359593486
18,19,9.749662270702329,5.0,7.7,8.547304616258293,188.5012874586171,92.0,8.134338783600912
19,20,9.330613816550107,5.0,7.75,8.93117376538738,197.8319012751672,97.0,8.17192099073052
20,21,10.528606616925062,5.0,7.699999999999999,7.914944148390196,208.36050789209227,102.0,8.158935765698997
21,22,10.664050893389044,5.0,7.55,7.814416319505199,219.0245587854813,107.0,8.142161514773232
22,23,10.595565960247802,5.0,7.35,7.864925162655907,229.6201247457291,112.0,8.129368750817154
